verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label,значение_ru_all,значение_ru_доп,ru_inf_ipf_all,ru_inf_pf_all,ru_present_1sg_all,ru_future_1sg_all,ru_past_ipf_mf_all,ru_past_pf_mf_all,ru_future_pf_1sg_all,ru_conditional_pf_1sg_all,ru_gerund_pf_all,ru_imperative_2sg_all,ru_1pl_pf_all,ru_display_infinitive,ru_display_perfective,ru_te_prompt,agentivity,ru_passive_prompt,passive_naturalness,passive_prompt_strategy,ru_causative_prompt,ru_causative_passive_prompt,train_general,train_potential,train_passive,train_passive_context,train_causative,train_causative_passive,train_imperative,train_volitional,train_desire,train_benefactive,train_request,train_advice,train_toki,ru_causative_alt_prompt
toru,取る,とる,toru,брать,N5,godan-ru,to,取り,取った,取って,取らない,取れば,取ったら,取れる,,取られる,取らせる,取らせられる,取れ,取るな,取ろう,取りたい,取らなければ,取らなきゃ,取らなくちゃ,брать,взять,беру,буду брать,брал(а),взял(а),возьму,возьму,взяв,возьми,возьмём,быть взятым,заставить взять,быть вынужденным взять,取,取,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,брать; получать,получать,брать / получать,взять / получить,беру / получаю,буду брать / получать,брал(а) / получал(а),взял(а) / получил(а),возьму / получу,возьму / получу,взяв / получив,возьми / получи,возьмём / получим,брать,взять,взять и затем…,agentive,быть взятым,natural,natural,заставить взять,быть вынужденным взять,1,1,1,0,1,1,1,1,1,1,1,1,1,разрешить взять
toru_2,撮る,とる,toru,фотографировать,N5,godan-ru,to,撮り,撮った,撮って,撮らない,撮れば,撮ったら,撮れる,,撮られる,撮らせる,撮らせられる,撮れ,撮るな,撮ろう,撮りたい,撮らなければ,撮らなきゃ,撮らなくちゃ,фотографировать,сфотографировать,фотографирую,буду фотографировать,фотографировал(а),сфотографировал(а),сфотографирую,сфотографирую,сфотографировав,сфотографируй,сфотографируем,быть сфотографированным,заставить сфотографировать,быть вынужденным сфотографировать,撮,撮,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,фотографировать; снимать,снимать,фотографировать / снимать,сфотографировать / снять,фотографирую / снимаю,буду фотографировать / снимать,фотографировал(а) / снимал(а),сфотографировал(а) / снял(а),сфотографирую / сниму,сфотографирую / сниму,сфотографировав / сняв,сфотографируй / сними,сфотографируем / снимем,фотографировать,сфотографировать,сфотографировать и затем…,agentive,быть сфотографированным,natural,natural,заставить сфотографировать,быть вынужденным сфотографировать,1,1,1,0,1,1,1,1,1,1,1,1,1,разрешить сфотографировать
naku,鳴く,なく,naku,издавать звук (о животных),N5,godan-ku,nak,鳴き,鳴いた,鳴いて,鳴かない,鳴けば,鳴いたら,鳴ける,,鳴かれる,鳴かせる,鳴かせられる,鳴け,鳴くな,鳴こう,鳴きたい,鳴かなければ,鳴かなきゃ,鳴かなくちゃ,кричать,крикнуть,кричит,буду кричать,кричал(а),крикнул(а),крикнет,крикнет,крикнув,,,Пассив: кричать,заставить крикнуть,быть вынужденным крикнуть,鳴,鳴,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,издавать звук (о животных),,кричать / издавать звук,крикнуть,кричит,буду кричать / издавать звук,кричал(а),крикнул(а),крикнет,крикнет,крикнув,—,—,кричать,крикнуть,крикнуть и затем…,non_agentive,Пассив: кричать,contextual,grammar_label,заставить крикнуть,быть вынужденным крикнуть,1,1,0,1,0,0,0,0,1,0,0,0,1,разрешить крикнуть
nakusu,無くす,なくす,nakusu,терять,N5,godan-su,nakus,無くし,無くした,無くして,無くさない,無くせば,無くしたら,無くせる,,無くされる,無くさせる,無くさせられる,無くせ,無くすな,無くそう,無くしたい,無くさなければ,無くさなきゃ,無くさなくちゃ,терять,потерять,теряю,буду терять,терял(а),потерял(а),потеряю,потеряю,потеряв,не потеряй,не потеряем,Пассив: терять,заставить потерять,быть вынужденным потерять,無く,無く,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,,терять,,терять,потерять,теряю,буду терять,терял(а),потерял(а),потеряю,потеряю,потеряв,не потеряй,не потеряем,терять,потерять,потерять и затем…,agentive,Пассив: терять,contextual,grammar_label,заставить потерять,быть вынужденным потерять,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить потерять
narau,習う,ならう,narau,учиться у кого-то,N5,godan-u,nara,習い,習った,習って,習わない,習えば,習ったら,習える,,習われる,習わせる,習わせられる,習え,習うな,習おう,習いたい,習わなければ,習わなきゃ,習わなくちゃ,учиться,научиться,учусь,буду учиться,учился(ась),научился(ась),научусь,научусь,научившись,учись,научимся,Пассив: учиться,заставить научиться,быть вынужденным научиться,習,習,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,,учиться у кого-то; изучать,изучать,учиться / изучать,научиться / изучить,учусь / изучаю,буду учиться / изучать,учился(ась) / изучал(а),научился(ась) / изучил(а),научусь / изучу,научусь / изучу,научившись / изучив,учись / изучи,научимся / изучим,учиться,научиться,научиться и затем…,agentive,Пассив: учиться,contextual,grammar_label,заставить научиться,быть вынужденным научиться,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить научиться
narabu,並ぶ,ならぶ,narabu,стоять в очереди,N5,godan-bu,narab,並び,並んだ,並んで,並ばない,並べば,並んだら,並べる,,並ばれる,並ばせる,並ばせられる,並べ,並ぶな,並ぼう,並びたい,並ばなければ,並ばなきゃ,並ばなくちゃ,выстраиваться,выстроиться,выстраиваюсь,буду выстраиваться,выстраивался(ась),выстроился(ась),выстроюсь,выстроюсь,выстроившись,выстройся,выстроимся,Пассив: выстраиваться,заставить выстроиться,быть вынужденным выстроиться,並,並,ぶ,bu,ぶ,bu,び,bi,ば,ba,べ,be,べ,be,んで,nで,んで,nで,んだ,nだ,んだ,nだ,べ,be,べ,be,ばれ,bare,ば|れ,ba|re,ばせ,base,ば|せ,ba|se,ばせられ,baserare,ば|せ|ら|れ,ba|se|ra|re,べ,be,べ,be,ぼう,bou,ぼ|う,bo|u,ba|bi|be|bo,,,,,стоять в очереди; выстраиваться,выстраиваться,выстраиваться,выстроиться,выстраиваюсь,буду выстраиваться,выстраивался(ась),выстроился(ась),выстроюсь,выстроюсь,выстроившись,выстройся,выстроимся,выстраиваться,выстроиться,выстроиться и затем…,agentive,Пассив: выстраиваться,contextual,grammar_label,заставить выстроиться,быть вынужденным выстроиться,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить выстроиться
naraberu,並べる,ならべる,naraberu,расставлять в ряд,N5,ichidan,narabe,並べ,並べた,並べて,並べない,並べれば,並べたら,並べられる,並べれる,並べられる,並べさせる,並べさせられる,並べろ,並べるな,並べよう,並べたい,並べなければ,並べなきゃ,並べなくちゃ,расставлять,расставить,расставляю,буду расставлять,расставлял(а),расставил(а),расставлю,расставлю,расставив,расставь,расставим,Пассив: расставлять,заставить расставить,быть вынужденным расставить,並べ,並べ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,расставлять в ряд,,расставлять,расставить,расставляю,буду расставлять,расставлял(а),расставил(а),расставлю,расставлю,расставив,расставь,расставим,расставлять,расставить,расставить и затем…,agentive,Пассив: расставлять,contextual,grammar_label,заставить расставить,быть вынужденным расставить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить расставить
naru,なる,なる,naru,становиться,N5,godan-ru,na,なり,なった,なって,ならない,なれば,なったら,なれる,,なられる,ならせる,ならせられる,なれ,なるな,なろう,なりたい,ならなければ,ならなきゃ,ならなくちゃ,становиться,стать,становлюсь,буду становиться,становился(ась),стал(а),стану,стану,став,стань,станем,Пассив: становиться,заставить стать,быть вынужденным стать,な,な,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,становиться,,становиться,стать,становлюсь,буду становиться,становился(ась),стал(а),стану,стану,став,стань,станем,становиться,стать,стать и затем…,agentive,Пассив: становиться,contextual,grammar_label,заставить стать,быть вынужденным стать,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить стать
nugu,脱ぐ,ぬぐ,nugu,снимать одежду,N5,godan-gu,nug,脱ぎ,脱いだ,脱いで,脱がない,脱げば,脱いだら,脱げる,,脱がれる,脱がせる,脱がせられる,脱げ,脱ぐな,脱ごう,脱ぎたい,脱がなければ,脱がなきゃ,脱がなくちゃ,снимать,снять,снимаю,буду снимать,снимал(а),снял(а),сниму,сниму,сняв,сними,снимем,Пассив: снимать,заставить снять,быть вынужденным снять,脱,脱,ぐ,gu,ぐ,gu,ぎ,gi,が,ga,げ,ge,げ,ge,いで,iで,いで,iで,いだ,iだ,いだ,iだ,げ,ge,げ,ge,がれ,gare,が|れ,ga|re,がせ,gase,が|せ,ga|se,がせられ,gaserare,が|せ|ら|れ,ga|se|ra|re,げ,ge,げ,ge,ごう,gou,ご|う,go|u,ga|gi|ge|go,,,,,снимать одежду,,снимать,снять,снимаю,буду снимать,снимал(а),снял(а),сниму,сниму,сняв,сними,снимем,снимать,снять,снять и затем…,agentive,Пассив: снимать,contextual,grammar_label,заставить снять,быть вынужденным снять,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить снять
neru,寝る,ねる,neru,спать,N5,ichidan,ne,寝,寝た,寝て,寝ない,寝れば,寝たら,寝られる,寝れる,寝られる,寝させる,寝させられる,寝ろ,寝るな,寝よう,寝たい,寝なければ,寝なきゃ,寝なくちゃ,спать,поспать,сплю,буду спать,спал(а),поспал(а),посплю,посплю,поспав,спи,поспим,Пассив: спать,заставить поспать,быть вынужденным поспать,寝,寝,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,спать; ложиться,ложиться,спать / ложиться,поспать / лечь,сплю / ложусь,буду спать / ложиться,спал(а) / ложился(ась),поспал(а) / лёг(ла),посплю / лягу,посплю / лягу,поспав / лёгши,спи / ложись,поспим / ляжем,спать,поспать,поспать и затем…,agentive,Пассив: спать,contextual,grammar_label,заставить поспать,быть вынужденным поспать,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить поспать
noboru,登る,のぼる,noboru,подниматься,N5,godan-ru,nobo,登り,登った,登って,登らない,登れば,登ったら,登れる,,登られる,登らせる,登らせられる,登れ,登るな,登ろう,登りたい,登らなければ,登らなきゃ,登らなくちゃ,подниматься,подняться,поднимаюсь,буду подниматься,поднимался(ась),поднялся(ась),поднимусь,поднимусь,поднявшись,поднимайся,поднимемся,Пассив: подниматься,заставить подняться,быть вынужденным подняться,登,登,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,подниматься; взбираться,взбираться,подниматься / взбираться,подняться / взобраться,поднимаюсь / взбираюсь,буду подниматься / взбираться,поднимался(ась) / взбирался(ась),поднялся(ась) / взобрался(ась),поднимусь / взберусь,поднимусь / взберусь,поднявшись / взобравшись,поднимайся,поднимемся,подниматься,подняться,подняться и затем…,agentive,Пассив: подниматься,contextual,grammar_label,заставить подняться,быть вынужденным подняться,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить подняться
nomu,飲む,のむ,nomu,пить,N5,godan-mu,nom,飲み,飲んだ,飲んで,飲まない,飲めば,飲んだら,飲める,,飲まれる,飲ませる,飲ませられる,飲め,飲むな,飲もう,飲みたい,飲まなければ,飲まなきゃ,飲まなくちゃ,пить,выпить,пью,буду пить,пил(а),выпил(а),выпью,выпью,выпив,пей,выпьем,Пассив: пить,заставить выпить,быть вынужденным выпить,飲,飲,む,mu,む,mu,み,mi,ま,ma,め,me,め,me,んで,nで,んで,nで,んだ,nだ,んだ,nだ,め,me,め,me,まれ,mare,ま|れ,ma|re,ませ,mase,ま|せ,ma|se,ませられ,maserare,ま|せ|ら|れ,ma|se|ra|re,め,me,め,me,もう,mou,も|う,mo|u,ma|mi|me|mo,,,,,пить,,пить,выпить,пью,буду пить,пил(а),выпил(а),выпью,выпью,выпив,пей,выпьем,пить,выпить,выпить и затем…,agentive,Пассив: пить,contextual,grammar_label,заставить выпить,быть вынужденным выпить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить выпить
noru,乗る,のる,noru,садиться в транспорт,N5,godan-ru,no,乗り,乗った,乗って,乗らない,乗れば,乗ったら,乗れる,,乗られる,乗らせる,乗らせられる,乗れ,乗るな,乗ろう,乗りたい,乗らなければ,乗らなきゃ,乗らなくちゃ,ездить,сесть,еду,буду ездить,ездил(а),сел(а),сяду,сяду,сев,садись,сядем,Пассив: ездить,заставить сесть,быть вынужденным сесть,乗,乗,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,"садиться в транспорт, ехать на",ехать на,ездить / садиться,сесть / поехать,еду / сажусь,буду ездить / садиться,ездил(а) / садился(ась),сел(а) / поехал(а),сяду / поеду,сяду / поеду,сев / поехав,садись,сядем / поедем,ездить,сесть,сесть и затем…,agentive,Пассив: ездить,contextual,grammar_label,заставить сесть,быть вынужденным сесть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить сесть
hairu,入る,はいる,hairu,входить,N5,godan-ru,hai,入り,入った,入って,入らない,入れば,入ったら,入れる,,入られる,入らせる,入らせられる,入れ,入るな,入ろう,入りたい,入らなければ,入らなきゃ,入らなくちゃ,входить,войти,вхожу,буду входить,входил(а),вошёл / вошла,войду,войду,войдя,войди,войдем,Пассив: входить,заставить войти,быть вынужденным войти,入,入,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,входить,,входить,войти,вхожу,буду входить,входил(а),вошёл / вошла,войду,войду,войдя,войди,войдем,входить,войти,войти и затем…,agentive,Пассив: входить,contextual,grammar_label,заставить войти,быть вынужденным войти,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить войти
haku,はく,はく,haku,надевать на нижнюю часть тела,N5,godan-ku,hak,はき,はいた,はいて,はかない,はけば,はいたら,はける,,はかれる,はかせる,はかせられる,はけ,はくな,はこう,はきたい,はかなければ,はかなきゃ,はかなくちゃ,надевать,надеть,надеваю,буду надевать,надевал(а),надел(а),надену,надену,надев,надень,наденем,Пассив: надевать,заставить надеть,быть вынужденным надеть,は,は,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,надевать на нижнюю часть тела,,надевать,надеть,надеваю,буду надевать,надевал(а),надел(а),надену,надену,надев,надень,наденем,надевать,надеть,надеть и затем…,agentive,Пассив: надевать,contextual,grammar_label,заставить надеть,быть вынужденным надеть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить надеть
hashiru,走る,はしる,hashiru,бегать,N5,godan-ru,hashi,走り,走った,走って,走らない,走れば,走ったら,走れる,,走られる,走らせる,走らせられる,走れ,走るな,走ろう,走りたい,走らなければ,走らなきゃ,走らなくちゃ,бегать,побежать,бегу,буду бегать,бегал(а),побежал(а),побегу,побегу,побежав,беги,побежим,Пассив: бегать,заставить побежать,быть вынужденным побежать,走,走,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,бегать; бежать,бежать,бегать / бежать,побежать,бегу,буду бегать / бежать,бегал(а),побежал(а),побегу,побегу,побежав,беги,побежим,бегать,побежать,побежать и затем…,agentive,Пассив: бегать,contextual,grammar_label,заставить побежать,быть вынужденным побежать,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить побежать
hataraku,働く,はたらく,hataraku,работать,N5,godan-ku,hatarak,働き,働いた,働いて,働かない,働けば,働いたら,働ける,,働かれる,働かせる,働かせられる,働け,働くな,働こう,働きたい,働かなければ,働かなきゃ,働かなくちゃ,работать,поработать,работаю,буду работать,работал(а),поработал(а),поработаю,поработаю,поработав,работай,поработаем,Пассив: работать,заставить поработать,быть вынужденным поработать,働,働,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,работать,,работать,поработать,работаю,буду работать,работал(а),поработал(а),поработаю,поработаю,поработав,работай,поработаем,работать,поработать,поработать и затем…,agentive,Пассив: работать,contextual,grammar_label,заставить поработать,быть вынужденным поработать,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить поработать
hanasu,話す,はなす,hanasu,говорить,N5,godan-su,hanas,話し,話した,話して,話さない,話せば,話したら,話せる,,話される,話させる,話させられる,話せ,話すな,話そう,話したい,話さなければ,話さなきゃ,話さなくちゃ,говорить,поговорить,говорю,буду говорить,говорил(а),поговорил(а),поговорю,поговорю,поговорив,говори,поговорим,Пассив: говорить,заставить поговорить,быть вынужденным поговорить,話,話,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,,"говорить, разговаривать",разговаривать,говорить / разговаривать,поговорить,говорю / разговариваю,буду говорить / разговаривать,говорил(а) / разговаривал(а),поговорил(а),поговорю,поговорю,поговорив,говори,поговорим,говорить,поговорить,поговорить и затем…,agentive,Пассив: говорить,contextual,grammar_label,заставить поговорить,быть вынужденным поговорить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить поговорить
haru,貼る,はる,haru,наклеивать,N5,godan-ru,ha,貼り,貼った,貼って,貼らない,貼れば,貼ったら,貼れる,,貼られる,貼らせる,貼らせられる,貼れ,貼るな,貼ろう,貼りたい,貼らなければ,貼らなきゃ,貼らなくちゃ,наклеивать,наклеить,наклеиваю,буду наклеивать,наклеивал(а),наклеил(а),наклею,наклею,наклеив,наклей,наклеим,Пассив: наклеивать,заставить наклеить,быть вынужденным наклеить,貼,貼,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,,наклеивать; прикреплять,прикреплять,наклеивать / прикреплять,наклеить / прикрепить,наклеиваю / прикрепляю,буду наклеивать / прикреплять,наклеивал(а) / прикреплял(а),наклеил(а) / прикрепил(а),наклею / прикреплю,наклею / прикреплю,наклеив / прикрепив,наклей / прикрепи,наклеим / прикрепим,наклеивать,наклеить,наклеить и затем…,agentive,Пассив: наклеивать,contextual,grammar_label,заставить наклеить,быть вынужденным наклеить,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить наклеить
hareru,晴れる,はれる,hareru,проясняться (о погоде),N5,ichidan,hare,晴れ,晴れた,晴れて,晴れない,晴れれば,晴れたら,晴れられる,晴れれる,晴れられる,晴れさせる,晴れさせられる,晴れろ,晴れるな,晴れよう,晴れたい,晴れなければ,晴れなきゃ,晴れなくちゃ,проясняться,проясниться,проясняется,буду проясняться,прояснялось,прояснилось,прояснится,прояснится,прояснившись,,,Пассив: проясняться,заставить проясниться,быть вынужденным проясниться,晴れ,晴れ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re,проясняться (о погоде),,проясняться,проясниться,проясняется,буду проясняться,прояснялось,прояснилось,прояснится,прояснится,прояснившись,—,—,проясняться,проясниться,проясниться и затем…,non_agentive,Пассив: проясняться,exclude,grammar_label,заставить проясниться,быть вынужденным проясниться,1,0,0,0,0,0,0,0,0,0,0,0,1,разрешить проясниться
hiku,引く,ひく,hiku,тянуть,N5,godan-ku,hik,引き,引いた,引いて,引かない,引けば,引いたら,引ける,,引かれる,引かせる,引かせられる,引け,引くな,引こう,引きたい,引かなければ,引かなきゃ,引かなくちゃ,тянуть,потянуть,тяну,буду тянуть,тянул(а),потянул(а),потяну,потяну,потянув,тяни,потянем,Пассив: тянуть,заставить потянуть,быть вынужденным потянуть,引,引,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,тянуть; вычитать,вычитать,тянуть / вычитать,потянуть / вычесть,тяну / вычитаю,буду тянуть / вычитать,тянул(а) / вычитал(а),потянул(а) / вычел(ла),потяну / вычту,потяну / вычту,потянув / вычтя,тяни / вычти,потянем / вычтем,тянуть,потянуть,потянуть и затем…,agentive,Пассив: тянуть,contextual,grammar_label,заставить потянуть,быть вынужденным потянуть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить потянуть
hiku_2,弾く,ひく,hiku,играть на инструменте,N5,godan-ku,hik,弾き,弾いた,弾いて,弾かない,弾けば,弾いたら,弾ける,,弾かれる,弾かせる,弾かせられる,弾け,弾くな,弾こう,弾きたい,弾かなければ,弾かなきゃ,弾かなくちゃ,играть,сыграть,играю,буду играть,играл(а),сыграл(а),сыграю,сыграю,сыграв,сыграй,сыграем,Пассив: играть,заставить сыграть,быть вынужденным сыграть,弾,弾,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,,играть на инструменте,,играть,сыграть,играю,буду играть,играл(а),сыграл(а),сыграю,сыграю,сыграв,сыграй,сыграем,играть,сыграть,сыграть и затем…,agentive,Пассив: играть,contextual,grammar_label,заставить сыграть,быть вынужденным сыграть,1,1,0,1,1,1,1,1,1,1,1,1,1,разрешить сыграть
